province,communities,avg_flood_exposure_score,avg_topographic_susceptibility_score,avg_flood_score,avg_network_distance_km,avg_water_distance_km,avg_elevation_m,est_population_community,priority_communities
Kratie,6,33.14665078172914,97.2183588317107,52.36816319672361,19.43233733397321,4.93877746784158,60.0,4117.0,0
Stung Treng,3,26.132113280878098,94.01947148817801,46.498320743068064,44.933566305402195,5.008713711704029,83.0,1269.6,2
Ratanakiri,27,21.37471367336337,76.37665481893576,37.87529601703509,25.486738133950865,4.544640268738141,209.85185185185185,11803.599999999999,6
Mondulkiri,8,23.01217206202882,59.30111265646732,33.89885424036037,28.199397894788127,3.822685893809393,332.625,2286.2,3
